METAR,RCKU,091700Z,360,03KT,9999,FEW012,13,13,Q1022,A3018,,
METAR,RCKU,091600Z,350,03KT,9999,FEW012,13,12,Q1021,A3017,,
METAR,RCKU,091500Z,000,00KT,9999,FEW012,13,12,Q1021,A3017,,
METAR,RCKU,091400Z,130,01KT,9999,FEW012,14,13,Q1022,A3018,,
METAR,RCKU,091330Z,280,01KT,9999,FEW012,14,12,Q1021,A3017,,
METAR,RCKU,091300Z,290,04KT,9999,FEW012,14,12,Q1021,A3016,,
METAR,RCKU,091230Z,290,04KT,9999,FEW012,14,12,Q1021,A3016,,
METAR,RCKU,091200Z,320,04KT,9999,FEW012,15,11,Q1021,A3015,,
METAR,RCKU,091130Z,340,03KT,9999,FEW012,15,11,Q1020,A3014,,
METAR,RCKU,091100Z,360,06KT,9999,FEW012,15,11,Q1020,A3014,,
METAR,RCKU,091030Z,340,06KT,9999,FEW012,16,11,Q1020,A3013,,
METAR,RCKU,091000Z,330,06KT,9999,FEW012,17,11,Q1020,A3012,,
METAR,RCKU,090930Z,300,06KT,9999,FEW012,18,11,Q1019,A3011,,
METAR,RCKU,090900Z,300,06KT,9999,FEW012,19,11,Q1019,NOSIG,A3011,
METAR,RCKU,090830Z,300,07KT,9999,FEW012,19,11,Q1019,NOSIG,A3011,
METAR,RCKU,090800Z,290,08KT,9999,FEW012,20,11,Q1019,NOSIG,A3011,
METAR,RCKU,090730Z,270,06KT,9999,FEW012,21,11,Q1019,NOSIG,A3010,
METAR,RCKU,090700Z,250,04KT,9999,FEW012,21,11,Q1019,NOSIG,A3009,
METAR,RCKU,090630Z,200,05KT,9999,FEW012,21,10,Q1019,NOSIG,A3010,
METAR,RCKU,090600Z,170,04KT,140V200,9999,FEW012 SCT100,20,10,Q1019,NOSIG,A3011
METAR,RCKU,090530Z,250,04KT,9999,FEW012 SCT060 BKN100,20,10,Q1020,NOSIG,A3013,
METAR,RCKU,090500Z,240,05KT,9999,FEW012 SCT060 BKN100,20,10,Q1020,NOSIG,A3014,
METAR,RCKU,090430Z,250,08KT,9999,FEW012 SCT100,19,09,Q1021,NOSIG,A3016,
METAR,RCKU,090400Z,250,11KT,9999,FEW012 SCT100,20,10,Q1021,NOSIG,A3017,
METAR,RCKU,090330Z,240,09KT,9999,FEW012,19,10,Q1021,NOSIG,A3017,
METAR,RCKU,090300Z,210,08KT,9999,FEW012,19,10,Q1022,NOSIG,A3018,
METAR,RCKU,090230Z,230,04KT,9999,FEW012,19,09,Q1022,NOSIG,A3019,
METAR,RCKU,090200Z,230,03KT,200V260,9999,FEW012,17,09,Q1022,NOSIG,A3020
METAR,RCKU,090130Z,360,02KT,9999,FEW012,16,07,Q1023,NOSIG,A3021,
METAR,RCKU,090100Z,030,03KT,9999,FEW012,15,07,Q1023,NOSIG,A3022,
METAR,RCKU,090030Z,020,03KT,9999,FEW012,14,06,Q1023,NOSIG,A3022,
METAR,RCKU,090000Z,360,03KT,9999,FEW012 BKN060,12,06,Q1023,NOSIG,A3022,
METAR,RCKU,082330Z,010,03KT,9999,FEW012 BKN060,11,06,Q1023,NOSIG,A3021,
METAR,RCKU,082300Z,360,03KT,9999,FEW012 SCT030 BKN060,10,05,Q1022,NOSIG,A3020,
METAR,RCKU,082230Z,360,04KT,9999,FEW012 BKN060,10,05,Q1022,NOSIG,A3020,
METAR,RCKU,082200Z,350,05KT,9999,FEW012 BKN060,11,05,Q1022,NOSIG,A3020,
METAR,RCKU,082130Z,350,05KT,9999,FEW012 BKN050,11,05,Q1022,NOSIG,A3019,
METAR,RCKU,082100Z,350,04KT,9999,FEW012 BKN050,10,05,Q1022,NOSIG,A3018,
METAR,RCKU,082030Z,350,05KT,9999,FEW012 BKN050,10,05,Q1021,A3017,,
METAR,RCKU,082000Z,350,05KT,9999,FEW012 BKN050,10,05,Q1021,A3017,,
METAR,RCKU,081900Z,350,05KT,9999,FEW012 BKN040,10,05,Q1022,A3018,,
METAR,RCKU,081800Z,360,05KT,9999,FEW012 BKN040,10,04,Q1022,A3020,,
METAR,RCKU,081700Z,360,07KT,9999,FEW012 BKN050,10,04,Q1023,A3022,,
